%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=210463, 2022/07/14 11:16:34.63)
214 1713 4.787568e-01 0 0 2.728053e-04 8.914511e-04 6.688777e-05 1.745011e-05 
215 1721 4.548023e-01 0 0 2.486453e-04 8.022001e-04 6.002984e-05 1.721986e-05 
216 1729 4.584107e-01 0 0 2.568971e-04 8.266080e-04 5.721713e-05 1.647123e-05 
217 1737 3.919124e-01 0 0 2.120872e-04 6.785331e-04 4.682582e-05 1.337884e-05 
218 1745 3.177067e-01 0 0 1.632781e-04 5.252925e-04 3.597090e-05 1.035240e-05 
219 1753 2.774371e-01 0 0 1.386686e-04 4.481800e-04 3.114625e-05 8.556395e-06 
220 1761 2.678812e-01 0 0 1.264039e-04 4.119510e-04 3.019604e-05 8.536089e-06 
221 1769 2.507320e-01 0 0 1.155042e-04 3.654752e-04 2.760722e-05 7.664042e-06 
222 1777 2.096541e-01 0 0 9.193122e-05 2.900500e-04 2.229031e-05 6.255618e-06 
223 1785 1.807308e-01 0 0 7.572514e-05 2.358091e-04 1.896592e-05 5.127666e-06 
224 1793 1.652728e-01 0 0 6.727979e-05 2.063496e-04 1.646950e-05 4.460510e-06 
225 1801 1.462829e-01 0 0 5.653611e-05 1.744081e-04 1.374711e-05 3.790587e-06 
226 1809 1.252930e-01 0 0 4.621854e-05 1.413712e-04 1.150651e-05 3.133977e-06 
227 1817 1.058668e-01 0 0 3.753298e-05 1.129466e-04 9.550124e-06 2.496121e-06 
228 1825 1.021097e-01 0 0 3.534696e-05 1.101832e-04 9.112422e-06 2.299878e-06 
229 1833 9.957568e-02 0 0 3.296305e-05 1.085072e-04 8.609708e-06 2.214529e-06 
230 1841 8.458437e-02 0 0 2.712469e-05 8.729692e-05 7.060568e-06 1.825790e-06 
231 1849 7.472820e-02 0 0 2.349811e-05 7.390087e-05 6.037721e-06 1.531700e-06 
232 1857 6.783659e-02 0 0 2.087477e-05 6.621339e-05 5.335123e-06 1.323950e-06 
233 1865 5.277312e-02 0 0 1.532673e-05 4.864028e-05 3.938636e-06 9.699403e-07 
