%  columns="iteration, evaluation, void, void, void, xmean" (startseed=210463, 2022/07/14 11:16:34.63)
6 2331 0 0 0 4.695831e+01 1.995983e+02 8.584526e-01 6.408954e-01 
7 2347 0 0 0 4.087471e+01 2.057430e+02 8.230797e-01 7.766697e-01 
8 2363 0 0 0 3.540256e+01 2.263366e+02 7.113655e-01 6.949328e-01 
9 2379 0 0 0 3.598050e+01 2.276381e+02 6.762663e-01 6.476890e-01 
10 2395 0 0 0 4.103586e+01 2.111673e+02 7.068359e-01 4.890180e-01 
11 2411 0 0 0 3.830016e+01 2.078055e+02 7.254832e-01 4.843499e-01 
12 2427 0 0 0 3.667829e+01 2.121967e+02 7.401157e-01 4.465923e-01 
13 2443 0 0 0 3.599304e+01 2.110861e+02 7.494375e-01 4.906682e-01 
14 2459 0 0 0 3.655821e+01 2.147287e+02 6.351378e-01 4.417476e-01 
15 2475 0 0 0 3.643875e+01 2.133523e+02 5.852924e-01 3.534206e-01 
16 2491 0 0 0 3.714325e+01 2.117170e+02 5.216244e-01 3.853054e-01 
17 2507 0 0 0 3.692305e+01 2.131043e+02 4.968477e-01 3.629467e-01 
18 2523 0 0 0 3.683287e+01 2.121431e+02 5.473468e-01 3.748345e-01 
19 2539 0 0 0 3.673023e+01 2.114745e+02 5.793058e-01 3.332014e-01 
20 2555 0 0 0 3.640171e+01 2.137230e+02 6.402238e-01 3.843963e-01 
21 2571 0 0 0 3.646685e+01 2.144716e+02 6.590970e-01 3.370013e-01 
22 2587 0 0 0 3.749245e+01 2.132720e+02 6.123603e-01 2.717303e-01 
23 2603 0 0 0 3.725985e+01 2.122213e+02 5.340560e-01 2.114194e-01 
24 2619 0 0 0 3.653137e+01 2.161327e+02 5.502153e-01 2.043099e-01 
25 2635 0 0 0 3.652757e+01 2.197477e+02 4.113657e-01 7.080918e-02 
26 2651 0 0 0 3.624750e+01 2.153953e+02 5.207528e-01 1.807454e-01 
27 2667 0 0 0 3.663607e+01 2.130600e+02 5.128218e-01 1.837598e-01 
28 2683 0 0 0 3.686192e+01 2.146014e+02 5.624877e-01 1.839010e-01 
29 2699 0 0 0 3.617177e+01 2.156017e+02 4.529775e-01 9.831832e-02 
30 2715 0 0 0 3.645129e+01 2.175603e+02 4.198300e-01 6.028048e-02 
31 2731 0 0 0 3.608832e+01 2.155583e+02 3.570116e-01 4.295672e-02 
32 2747 0 0 0 3.632145e+01 2.178927e+02 3.897141e-01 7.532508e-02 
33 2763 0 0 0 3.630668e+01 2.186361e+02 3.274102e-01 2.294006e-02 
34 2779 0 0 0 3.675013e+01 2.189414e+02 4.008042e-01 2.682231e-02 
